NAME,population,under44_1,under44_2,under44_3,older65_1,older_65_2,income_per_capita,industrial_managers,construction_managers,farmers,realestate,construction_workers,state,place
"Sibley village, Missouri",356,14,48,55,36,24,31752,,,,,,29,67718
"Laurel city, Mississippi",18607,1553,2625,2237,1443,1562,21905,,,,,,28,39640
"Leland city, Mississippi",4058,317,496,438,328,230,21563,,,,,,28,40280
"Corinth city, Mississippi",14647,1675,1983,1682,1432,1316,21012,,,,,,28,15700
"Sullivan city, Missouri",6496,460,994,902,566,645,22142,,,,,,29,71440
"Lewistown town, Missouri",685,68,102,83,97,35,20730,,,,,,29,41852
"Sugar Creek city, Missouri",3309,219,664,206,279,187,21378,,,,,,29,71368
"La Grange city, Missouri",958,91,58,100,131,67,21257,,,,,,29,39764
"Livonia village, Missouri",95,19,9,6,5,0,11905,,,,,,29,43454
"Hunnewell city, Missouri",158,7,12,27,11,9,18778,,,,,,29,33760
"Center city, Missouri",477,36,53,49,54,76,22542,,,,,,29,12592
"Puxico city, Missouri",931,69,140,75,114,60,19904,,,,,,29,60284
"Chamois city, Missouri",438,69,73,29,76,27,28223,,,,,,29,13060
"Linn city, Missouri",1654,363,280,136,102,77,19062,,,,,,29,43238
"Doniphan city, Missouri",2236,122,303,340,190,236,16337,,,,,,29,19792
"Hollister city, Missouri",4504,595,624,499,469,406,20882,,,,,,29,32662
"Gentry village, Missouri",63,9,6,12,3,8,14859,,,,,,29,26776
"King City city, Missouri",962,74,108,92,96,134,21433,,,,,,29,38774
"Stanberry city, Missouri",1222,90,177,112,79,182,20625,,,,,,29,70270
"Benton city, Missouri",913,43,168,134,62,48,25814,,,,,,29,04798
"Vanduser village, Missouri",194,46,5,17,42,25,30816,,,,,,29,75724
"Creighton city, Missouri",329,44,38,34,46,15,18102,,,,,,29,17164
"Garden City city, Missouri",1494,198,235,159,128,81,23073,,,,,,29,26434
"Festus city, Missouri",11970,964,1682,1607,989,815,26055,,,,,,29,24094
"Hawk Point city, Missouri",809,41,127,117,63,30,17742,,,,,,29,31024
"Silex village, Missouri",62,2,25,0,1,2,13068,,,,,,29,67808
"Troy city, Missouri",11771,1145,1747,1801,697,696,23532,,,,,,29,73942
"Morehouse city, Missouri",913,72,69,128,73,59,16947,,,,,,29,49898
"Aldrich village, Missouri",66,5,3,8,8,13,21108,,,,,,29,00568
"Halfway village, Missouri",136,2,13,13,19,8,15521,,,,,,29,29962
"Galt city, Missouri",184,7,16,8,38,15,22438,,,,,,29,26362
"Princeton city, Missouri",1083,56,98,103,64,170,18152,,,,,,29,59942
"Ionia town, Missouri",90,4,4,4,22,9,16197,,,,,,29,35306
"Breckenridge city, Missouri",299,22,33,34,23,30,25606,,,,,,29,08128
"Jonesburg city, Missouri",704,65,81,65,91,79,19672,,,,,,29,37574
"McKittrick town, Missouri",56,1,8,0,10,7,19632,,,,,,29,45200
"Anderson city, Missouri",2254,199,281,292,153,174,19012,,,,,,29,01198
"Rensselaer village, Missouri",241,9,28,40,38,16,36137,,,,,,29,61184
"Vandalia city, Missouri",4178,396,987,650,279,208,12532,,,,,,29,75688
"Bloomfield city, Missouri",2086,110,231,390,300,140,21287,,,,,,29,06382
"Dudley city, Missouri",218,15,39,20,18,9,17815,,,,,,29,20296
"Oak Grove city, Missouri",8008,547,1134,931,550,461,22947,,,,,,29,53624
"Lake Lotawana city, Missouri",2092,131,177,230,251,103,50981,,,,,,29,39980
"Unity Village village, Missouri",92,26,7,6,6,5,26771,,,,,,29,75202
"Dexter city, Missouri",7885,687,806,1151,781,909,19623,,,,,,29,19396
"Lexington city, Missouri",4558,264,602,666,480,421,27060,,,,,,29,41870
"Napoleon city, Missouri",213,11,21,22,52,17,25286,,,,,,29,51140
"Jamestown town, Missouri",462,25,46,73,37,43,19233,,,,,,29,36368
"Velda City city, Missouri",1367,131,155,78,151,95,18289,,,,,,29,75796
"Mill Spring village, Missouri",130,17,4,26,12,1,9204,,,,,,29,48386
"Ludlow town, Missouri",122,6,19,14,7,13,17190,,,,,,29,44390
"Excelsior Estates village, Missouri",203,23,32,20,13,5,20901,,,,,,29,23077
"Osage Beach city, Missouri",4909,384,203,488,950,594,27088,,,,,,29,55244
"Collins village, Missouri",178,7,32,4,15,24,20478,,,,,,29,15562
"Moundville town, Missouri",143,4,20,21,8,14,20756,,,,,,29,50330
"Chillicothe city, Missouri",9136,747,1375,1309,899,886,19385,,,,,,29,13690
"Reeds Spring city, Missouri",987,61,124,105,162,79,17040,,,,,,29,61112
"Kennett city, Missouri",10225,796,1281,1275,1043,925,22140,,,,,,29,38306
"Golden City city, Missouri",671,57,60,75,104,78,19794,,,,,,29,27676
"Liberal city, Missouri",644,68,72,94,66,44,19454,,,,,,29,41906
"Stockton city, Missouri",1818,157,193,206,202,253,18834,,,,,,29,70828
"Miller city, Missouri",756,48,47,126,122,31,19198,,,,,,29,48242
"Holliday village, Missouri",102,6,1,13,11,21,19713,,,,,,29,32626
"Newburg city, Missouri",492,49,68,53,36,86,16132,,,,,,29,51716
"Bel-Nor village, Missouri",1389,150,208,147,211,88,36787,,,,,,29,04348
"Cool Valley city, Missouri",1164,107,129,171,167,54,20582,,,,,,29,16228
"Crestwood city, Missouri",11881,618,1360,1642,1180,1177,38619,,,,,,29,17218
"Flordell Hills city, Missouri",898,143,98,133,32,16,12093,,,,,,29,24706
"Hanley Hills village, Missouri",1832,212,252,264,226,35,18838,,,,,,29,30196
"Marlborough village, Missouri",2457,704,625,170,180,117,30860,,,,,,29,46208
"Rock Hill city, Missouri",4637,379,561,835,301,175,42476,,,,,,29,62660
"St. Ann city, Missouri",12853,1208,1836,1413,711,896,23527,,,,,,29,63956
"Lake Ozark city, Missouri",1759,199,194,98,370,101,32398,,,,,,29,40034
"Olean town, Missouri",55,7,6,5,2,5,22900,,,,,,29,54560
"Deerfield village, Missouri",42,0,4,4,14,0,18024,,,,,,29,18802
"Milo village, Missouri",79,16,5,6,10,4,13597,,,,,,29,48476
"Oronogo city, Missouri",2580,198,367,563,126,35,24209,,,,,,29,54920
"Bates City city, Missouri",207,7,21,22,24,22,27194,,,,,,29,03556
"Dover town, Missouri",81,4,3,10,8,18,22672,,,,,,29,19918
"Lake Lafayette city, Missouri",313,35,31,42,26,24,18507,,,,,,29,39952
"Farley village, Missouri",250,17,17,10,31,21,29603,,,,,,29,23698
"Ferrelview village, Missouri",538,56,134,61,36,19,23822,,,,,,29,24058
"Houston Lake city, Missouri",379,62,67,34,44,13,34836,,,,,,29,33292
"Northmoor city, Missouri",481,32,58,94,43,11,34239,,,,,,29,53174
"Parkville city, Missouri",6524,617,476,580,597,273,73948,,,,,,29,56288
"Platte City city, Missouri",4905,508,863,687,273,269,28378,,,,,,29,58178
"Tracy city, Missouri",282,49,26,12,53,12,25958,,,,,,29,73690
"South Gorin town, Missouri",87,11,4,5,22,4,10817,,,,,,29,68870
"Bel-Ridge village, Missouri",2718,240,426,328,229,56,16383,,,,,,29,04366
"Bragg City town, Missouri",145,15,14,22,11,3,12800,,,,,,29,07876
"Fordland city, Missouri",915,59,114,82,86,56,15940,,,,,,29,25012
"Malta Bend town, Missouri",240,40,16,21,17,10,15404,,,,,,29,45632
"St. James city, Missouri",4112,314,523,495,278,479,20843,,,,,,29,64424
"Lupus town, Missouri",29,0,8,1,10,0,25807,,,,,,29,44498
"Rockville city, Missouri",123,4,8,25,19,13,12368,,,,,,29,62786
"Salem city, Missouri",4939,388,581,500,553,688,23341,,,,,,29,65234
"Alba city, Missouri",710,46,113,167,43,31,24341,,,,,,29,00496
"Avilla town, Missouri",68,2,15,2,8,5,13237,,,,,,29,02746
"Brooklyn Heights town, Missouri",105,6,16,6,13,12,22474,,,,,,29,08776
"Carytown city, Missouri",257,2,25,38,38,15,25284,,,,,,29,11728
"Buffalo city, Missouri",3032,211,356,232,336,406,13022,,,,,,29,09514
"Macon city, Missouri",5379,339,664,567,702,634,20347,,,,,,29,45326
"Ashland city, Missouri",3905,142,689,535,204,308,26709,,,,,,29,02242
"Harrisburg town, Missouri",329,12,76,46,14,19,25548,,,,,,29,30484
"Hartsburg town, Missouri",94,0,19,9,12,9,23872,,,,,,29,30718
"Oakwood village, Missouri",176,3,15,11,36,17,46041,,,,,,29,53894
"Sheridan town, Missouri",200,4,25,16,30,22,18645,,,,,,29,67358
"Brookfield city, Missouri",4481,271,521,474,451,502,18018,,,,,,29,08650
"Linneus city, Missouri",282,12,33,27,43,9,22503,,,,,,29,43292
"Joplin city, Missouri",50073,5467,7569,6197,4279,3852,25894,,,,,,29,37592
"Leawood village, Missouri",584,19,61,53,71,49,42141,,,,,,29,41132
"Redings Mill village, Missouri",148,10,7,18,25,15,29143,,,,,,29,60986
"Stotesbury town, Missouri",17,0,2,0,4,9,9306,,,,,,29,70954
"Maplewood city, Missouri",8008,770,1960,1064,599,146,31463,,,,,,29,45830
"Halltown village, Missouri",165,7,4,53,5,7,9815,,,,,,29,30016
"Pine Lawn city, Missouri",3513,459,366,457,327,105,12004,,,,,,29,57800
"Brumley town, Missouri",95,20,4,16,8,4,19236,,,,,,29,08974
"Walker city, Missouri",257,16,18,34,19,21,15023,,,,,,29,76660
"Stoutsville village, Missouri",24,2,2,1,9,5,23533,,,,,,29,71026
"Crystal Lake Park city, Missouri",430,5,39,46,98,51,71018,,,,,,29,17650
"Eureka city, Missouri",10575,432,1152,1633,908,605,40140,,,,,,29,22834
"Florissant city, Missouri",51744,3981,7764,6241,3321,3646,25212,,,,,,29,24778
"Norwood Court town, Missouri",985,124,178,110,58,44,22152,,,,,,29,53462
"Oakville CDP, Missouri",36827,3185,3749,4233,4584,2630,38526,,,,,,29,53876
"Shrewsbury city, Missouri",6166,493,729,677,739,982,37844,,,,,,29,67700
"Sycamore Hills village, Missouri",673,56,106,52,68,45,27064,,,,,,29,72034
"University City city, Missouri",34653,4769,6069,4158,3101,2766,50067,,,,,,29,75220
"Blairstown city, Missouri",122,4,21,25,9,5,14555,,,,,,29,06238
"Diamond town, Missouri",921,81,158,92,61,99,20802,,,,,,29,19432
"Fairview town, Missouri",471,8,88,35,37,42,14694,,,,,,29,23518
"Loma Linda town, Missouri",754,37,45,54,115,75,44383,,,,,,29,43672
"Newtonia town, Missouri",192,14,27,15,10,27,17377,,,,,,29,52292
"Bolckow city, Missouri",159,18,15,15,16,21,22431,,,,,,29,06922
"Country Club village, Missouri",2810,228,281,421,242,139,33554,,,,,,29,16802
"Rosendale city, Missouri",138,10,14,28,2,9,15589,,,,,,29,63200
"Merriam Woods village, Missouri",2001,195,195,281,146,32,14945,,,,,,29,47520
"Lawson city, Missouri",2363,158,296,262,99,211,30063,,,,,,29,40988
"Spanish Lake CDP, Missouri",18048,2186,2504,2022,1714,665,20885,,,,,,29,69266
"Utica village, Missouri",157,0,7,31,20,11,23799,,,,,,29,75364
"Elmira village, Missouri",29,1,4,4,4,2,33690,,,,,,29,22006
"Richmond city, Missouri",5606,507,875,619,489,546,24569,,,,,,29,61670
"Hurley city, Missouri",237,35,23,31,24,4,12894,,,,,,29,33922
"Iberia city, Missouri",674,67,125,60,59,66,18451,,,,,,29,34228
"Gerster town, Missouri",26,0,2,2,2,2,14919,,,,,,29,26902
"Lowry City city, Missouri",710,73,63,47,92,92,17707,,,,,,29,44282
"Trenton city, Missouri",5846,626,870,527,579,732,22279,,,,,,29,73816
"Mercer town, Missouri",335,13,44,4,45,47,17097,,,,,,29,47486
"Barnett city, Missouri",249,15,25,25,39,15,12455,,,,,,29,03376
"Worthington village, Missouri",201,46,30,16,4,0,7894,,,,,,29,81106
"Leonard village, Missouri",64,2,2,14,11,6,25491,,,,,,29,41546
"Shelbina city, Missouri",1530,119,123,167,167,254,18097,,,,,,29,67178
"Anniston town, Missouri",145,4,16,10,16,29,20326,,,,,,29,01288
"Charleston city, Missouri",5704,376,999,888,566,246,16755,,,,,,29,13366
"Pinhook village, Missouri",0,0,0,0,0,0,-666666666,,,,,,29,57926
"Tarkio city, Missouri",1509,127,199,144,198,173,26450,,,,,,29,72340
"Caruthersville city, Missouri",5760,563,650,655,479,438,17523,,,,,,29,11692
"Holland town, Missouri",177,23,22,16,30,13,20875,,,,,,29,32590
"St. Mary city, Missouri",365,48,43,34,39,27,16831,,,,,,29,65034
"Bellflower city, Missouri",384,35,48,47,36,31,17133,,,,,,29,04330
"High Hill city, Missouri",214,3,21,22,23,14,20565,,,,,,29,31996
"Bismarck city, Missouri",1395,110,141,195,149,87,18502,,,,,,29,05878
"Potosi city, Missouri",2617,263,227,382,256,259,20045,,,,,,29,59330
"Triplett city, Missouri",16,0,0,1,2,9,23963,,,,,,29,73870
"Gray Summit CDP, Missouri",2594,172,618,242,162,86,24549,,,,,,29,28918
"Chain of Rocks village, Missouri",95,11,9,14,0,5,25957,,,,,,29,13006
"Winfield city, Missouri",1321,83,168,181,89,53,21420,,,,,,29,80422
"Canalou city, Missouri",215,21,14,48,19,12,16919,,,,,,29,11026
"Risco city, Missouri",370,50,39,38,49,30,24129,,,,,,29,61994
"Humansville city, Missouri",1026,53,92,86,131,155,14357,,,,,,29,33706
"Holt city, Missouri",395,30,48,59,39,28,23802,,,,,,29,32752
"Gower city, Missouri",1554,132,203,161,189,132,24465,,,,,,29,28036
"Mindenmines city, Missouri",301,24,10,64,16,21,17001,,,,,,29,48566
"El Dorado Springs city, Missouri",3545,184,629,337,370,287,15275,,,,,,29,21502
"Osceola city, Missouri",1025,107,115,148,119,101,15103,,,,,,29,55388
"Richards town, Missouri",181,21,42,19,4,3,10140,,,,,,29,61364
"Campbell city, Missouri",2165,95,194,263,210,223,13672,,,,,,29,10864
"Clarkton city, Missouri",1213,120,167,68,77,74,13622,,,,,,29,14212
"Knob Noster city, Missouri",2770,444,634,334,110,55,23810,,,,,,29,39188
"Russellville city, Missouri",751,106,105,81,76,33,24063,,,,,,29,63704
"Bethany city, Missouri",3065,214,378,257,306,484,19677,,,,,,29,05068
"Blythedale village, Missouri",180,9,15,17,35,22,22433,,,,,,29,06742
"Willard city, Missouri",5453,247,748,738,415,214,25536,,,,,,29,79882
"Chilhowee town, Missouri",397,23,40,43,33,10,15241,,,,,,29,13654
"Warrensburg city, Missouri",20025,6714,3022,1786,977,1108,21759,,,,,,29,77092
"Lancaster city, Missouri",853,34,105,108,84,90,15421,,,,,,29,40610
"Curryville city, Missouri",188,16,20,24,25,13,19240,,,,,,29,17902
"Queen City city, Missouri",694,25,92,58,88,70,20742,,,,,,29,60356
"Hillsboro city, Missouri",3105,441,615,508,137,136,21130,,,,,,29,32248
"Kimmswick city, Missouri",136,17,9,34,11,8,23271,,,,,,29,38684
"Murphy CDP, Missouri",8163,567,1246,1014,755,383,24458,,,,,,29,50834
"Parkdale village, Missouri",186,9,12,22,28,26,29849,,,,,,29,56226
"Purdy city, Missouri",1338,154,159,116,92,82,16677,,,,,,29,60176
"Imperial CDP, Missouri",4279,271,270,655,419,251,29335,,,,,,29,34354
"Fisk city, Missouri",413,9,52,69,24,10,13866,,,,,,29,24328
"Centertown town, Missouri",319,23,46,37,26,23,25931,,,,,,29,12664
"Josephville village, Missouri",372,23,21,29,37,23,48683,,,,,,29,37700
"Portage Des Sioux city, Missouri",376,24,37,61,28,11,24991,,,,,,29,59150
"St. Charles city, Missouri",69576,10265,10869,7435,5761,5127,34333,,,,,,29,64082
"Wentzville city, Missouri",37485,2458,5102,6706,2283,1448,31872,,,,,,29,78442
"Summersville city, Missouri",541,53,117,69,37,51,17555,,,,,,29,71512
"Irondale city, Missouri",416,21,53,67,49,18,14812,,,,,,29,35396
"Fayette city, Missouri",2694,810,313,142,198,340,18694,,,,,,29,23842
"Arrow Rock town, Missouri",45,0,0,8,6,10,34207,,,,,,29,02044
"Mount Leonard town, Missouri",42,0,0,0,6,2,17248,,,,,,29,50510
"Diggins village, Missouri",270,16,38,22,37,26,20772,,,,,,29,19504
"Niangua city, Missouri",608,28,46,140,53,18,17343,,,,,,29,52418
"Laddonia city, Missouri",577,33,55,65,60,49,18875,,,,,,29,39602
"Vandiver village, Missouri",75,1,10,3,16,10,28731,,,,,,29,75706
"Cairo village, Missouri",330,19,39,45,43,32,19962,,,,,,29,10360
"Chain-O-Lakes village, Missouri",112,0,6,13,15,18,47564,,,,,,29,13015
"Lincoln city, Missouri",926,100,125,95,78,71,19746,,,,,,29,42608
"Carl Junction city, Missouri",7995,403,902,1067,606,515,28506,,,,,,29,11368
"St. Peters city, Missouri",56838,4012,7870,7975,5312,3387,36932,,,,,,29,65126
"Wardell town, Missouri",234,13,14,36,31,22,22950,,,,,,29,76966
"Van Buren town, Missouri",1080,129,149,87,96,90,18158,,,,,,29,75580
"Airport Drive village, Missouri",889,144,140,98,59,59,34097,,,,,,29,00424
"Duenweg city, Missouri",1370,174,149,161,108,88,23233,,,,,,29,20314
"Lucerne village, Missouri",80,14,9,3,6,7,18746,,,,,,29,44372
"Unionville city, Missouri",1998,219,263,161,177,201,17396,,,,,,29,75166
"Clarence city, Missouri",917,91,100,92,94,91,16794,,,,,,29,13978
"La Russell city, Missouri",121,11,22,3,2,10,10636,,,,,,29,40790
"Platte Woods city, Missouri",414,36,31,48,65,52,42921,,,,,,29,58196
"Ridgely village, Missouri",66,6,8,4,10,0,25424,,,,,,29,61886
"Camdenton city, Missouri",3977,279,564,375,515,391,18760,,,,,,29,10810
"Brandsville city, Missouri",99,7,8,4,17,10,13157,,,,,,29,07948
"Riverside city, Missouri",3255,354,562,447,184,253,28778,,,,,,29,62156
"Arbela town, Missouri",31,5,5,0,4,2,19906,,,,,,29,01576
"Rutledge town, Missouri",83,0,17,2,10,17,10172,,,,,,29,63776
"Huntsville city, Missouri",1527,91,216,176,146,144,21344,,,,,,29,33886
"Blackwater city, Missouri",198,5,34,22,16,6,16511,,,,,,29,06148
"Deepwater city, Missouri",432,37,72,30,60,30,18486,,,,,,29,18730
"Odessa city, Missouri",5189,465,653,652,250,451,23701,,,,,,29,54038
"Jefferson City city, Missouri",43013,4317,6650,5473,3623,3013,26797,,,,,,29,37000
"Rocheport city, Missouri",260,15,28,19,51,7,23128,,,,,,29,62498
"Leadwood city, Missouri",1382,185,168,174,103,52,15458,,,,,,29,41078
"Arcola village, Missouri",80,7,12,8,26,0,18968,,,,,,29,01720
"Altenburg city, Missouri",372,36,32,49,29,19,25409,,,,,,29,00928
"Frohna city, Missouri",235,35,41,27,19,17,25508,,,,,,29,26092
"Moberly city, Missouri",13762,1394,2161,1849,1034,931,18448,,,,,,29,49034
"Iatan village, Missouri",48,7,3,6,1,1,33679,,,,,,29,34210
"Duquesne village, Missouri",1839,367,175,259,195,111,24740,,,,,,29,20512
"Sarcoxie city, Missouri",1343,96,101,226,101,92,27549,,,,,,29,65990
"Edgerton city, Missouri",517,43,97,43,64,22,26538,,,,,,29,21250
"Kansas City city, Missouri",481417,45043,83405,63490,35448,25276,31143,,,,,,29,38000
"Carrollton city, Missouri",3637,236,406,410,431,364,18699,,,,,,29,11566
"Cowgill city, Missouri",206,32,22,21,12,17,16792,,,,,,29,16984
"Kidder city, Missouri",213,23,14,24,43,20,23457,,,,,,29,38522
"Bourbon city, Missouri",1946,101,280,206,128,223,24294,,,,,,29,07534
"Brunswick city, Missouri",854,69,89,50,93,135,21256,,,,,,29,09046
"New Haven city, Missouri",1952,96,367,184,163,164,24435,,,,,,29,51914
"Grandin city, Missouri",269,22,27,43,11,9,13737,,,,,,29,28180
"Granger village, Missouri",30,0,6,3,3,4,14107,,,,,,29,28360
"Fidelity town, Missouri",231,14,28,27,37,20,28168,,,,,,29,24120
"Neck City city, Missouri",174,9,13,20,13,6,20957,,,,,,29,51356
"Reeds town, Missouri",89,4,6,14,13,12,18229,,,,,,29,61094
"Weston city, Missouri",1675,133,190,164,208,154,30805,,,,,,29,78856
"Revere town, Missouri",60,3,9,9,4,8,18382,,,,,,29,61292
"Fremont Hills city, Missouri",1130,34,84,133,212,94,50955,,,,,,29,25957
"Hermann city, Missouri",2422,177,220,270,292,271,30487,,,,,,29,31762
"Rock Port city, Missouri",1452,71,130,129,212,195,31265,,,,,,29,62696
"Bloomsdale city, Missouri",772,85,60,164,72,55,29393,,,,,,29,06454
"Innsbrook village, Missouri",700,11,101,6,178,132,52923,,,,,,29,35240
"Warrenton city, Missouri",8129,837,963,1111,610,640,20976,,,,,,29,77128
"Hume town, Missouri",397,64,42,47,16,12,25443,,,,,,29,33724
"Camden Point city, Missouri",512,57,63,58,38,27,30360,,,,,,29,10792
"Weatherby Lake city, Missouri",1967,72,133,259,359,152,52070,,,,,,29,78046
"Hartville city, Missouri",578,49,43,74,71,83,15375,,,,,,29,30754
"Mansfield city, Missouri",1450,101,208,203,172,86,15498,,,,,,29,45740
"Cosby village, Missouri",189,24,10,32,6,8,23259,,,,,,29,16588
"Bland city, Missouri",505,58,41,45,71,38,15106,,,,,,29,06256
"Naylor city, Missouri",793,90,67,134,86,32,13671,,,,,,29,51302
"Oaks village, Missouri",141,8,18,11,9,7,45311,,,,,,29,53804
"Liberty city, Missouri",30928,3084,3731,4501,2356,1784,34050,,,,,,29,42032
"Missouri City city, Missouri",543,35,59,31,157,59,21169,,,,,,29,48980
"North Kansas City city, Missouri",4414,439,1120,372,308,401,27751,,,,,,29,53102
"Republic city, Missouri",16044,1416,2534,2325,1231,710,22675,,,,,,29,61238
"Strafford city, Missouri",2035,76,328,241,167,184,21655,,,,,,29,71062
"Kingsville city, Missouri",256,17,33,27,26,16,23823,,,,,,29,38918
"Frankford city, Missouri",404,26,68,26,46,38,24924,,,,,,29,25552
"Winston village, Missouri",244,32,19,24,32,30,21740,,,,,,29,80548
"Pilot Knob city, Missouri",684,144,97,116,46,25,18919,,,,,,29,57656
"Viburnum city, Missouri",734,71,119,57,35,56,20240,,,,,,29,76012
"Birmingham village, Missouri",204,19,15,40,18,8,29531,,,,,,29,05824
"Gladstone city, Missouri",26995,2391,4137,3223,2696,2117,30953,,,,,,29,27190
"Battlefield city, Missouri",6104,404,595,1200,477,218,26273,,,,,,29,03592
"Pleasant Hill city, Missouri",8418,431,1224,1142,635,400,27597,,,,,,29,58394
"Oakview village, Missouri",482,42,45,91,30,19,27854,,,,,,29,53858
"De Soto city, Missouri",6390,396,929,788,712,494,20995,,,,,,29,19252
"Morley city, Missouri",726,132,32,99,98,59,22017,,,,,,29,49988
"Byrnes Mill city, Missouri",2944,244,273,368,371,144,31638,,,,,,29,10240
"Scotsdale town, Missouri",168,13,21,12,14,17,30090,,,,,,29,66337
"Cassville city, Missouri",3289,259,516,344,350,320,16473,,,,,,29,11890
"Emerald Beach village, Missouri",276,2,15,11,57,24,65867,,,,,,29,22250
"Wheaton city, Missouri",647,85,102,39,64,29,13903,,,,,,29,79126
"Norborne city, Missouri",830,54,146,72,107,52,25810,,,,,,29,52760
"Kimberling City city, Missouri",2714,142,83,390,543,434,27687,,,,,,29,38612
"Lakeside city, Missouri",0,0,0,0,0,0,-666666666,,,,,,29,40142
"Bakersfield village, Missouri",244,35,37,15,37,7,21142,,,,,,29,03052
"Gainesville city, Missouri",685,60,110,57,70,52,13304,,,,,,29,26218
"Vista village, Missouri",64,8,5,21,0,2,18769,,,,,,29,76390
"Bronaugh city, Missouri",207,18,16,41,7,4,14766,,,,,,29,08614
"Umber View Heights village, Missouri",51,1,10,6,3,7,36276,,,,,,29,74473
"Cole Camp city, Missouri",1168,37,120,139,131,213,24815,,,,,,29,15436
"Qulin city, Missouri",554,29,68,56,66,32,17315,,,,,,29,60428
"Augusta town, Missouri",266,16,35,39,37,23,30683,,,,,,29,02512
"St. Paul city, Missouri",2431,238,223,261,268,142,42668,,,,,,29,65108
"Warsaw city, Missouri",2469,266,227,250,220,368,16450,,,,,,29,77146
"Monroe City city, Missouri",2487,176,268,268,192,272,22369,,,,,,29,49394
"Perryville city, Missouri",8403,509,1149,1055,684,840,22394,,,,,,29,57116
"Benton City village, Missouri",188,4,43,12,34,2,18146,,,,,,29,04834
"Rush Hill village, Missouri",175,6,29,9,12,12,24381,,,,,,29,63560
"Arkoe town, Missouri",44,6,0,4,2,1,27400,,,,,,29,01864
"Warson Woods city, Missouri",1915,60,91,364,189,241,63954,,,,,,29,77182
"Piedmont city, Missouri",2621,243,272,212,218,271,20409,,,,,,29,57422
"Vienna city, Missouri",678,30,111,77,85,93,20806,,,,,,29,76102
"Clyde village, Missouri",72,5,9,15,7,3,25318,,,,,,29,15130
"Guilford town, Missouri",56,0,9,13,1,2,20420,,,,,,29,29692
"Pickering town, Missouri",119,40,7,20,11,12,19716,,,,,,29,57404
"Harris town, Missouri",18,3,0,0,6,0,21172,,,,,,29,30466
"Humphreys village, Missouri",81,21,3,1,8,12,18160,,,,,,29,33742
"Milan city, Missouri",2670,217,376,485,216,156,20422,,,,,,29,48062
"Newtown town, Missouri",190,27,7,24,9,27,13198,,,,,,29,52328
"Claycomo village, Missouri",1419,95,149,155,182,141,31007,,,,,,29,14554
"Glenwood village, Missouri",214,12,12,30,9,11,12365,,,,,,29,27514
"Louisiana city, Missouri",3272,445,325,368,271,312,21261,,,,,,29,44174
"Paynesville village, Missouri",47,0,4,3,10,8,23913,,,,,,29,56612
"Grant City town, Missouri",908,72,88,84,97,123,22577,,,,,,29,28594
"Bevier city, Missouri",696,69,79,50,67,81,19381,,,,,,29,05266
"Elmer city, Missouri",73,0,8,6,6,13,15237,,,,,,29,21988
"Holts Summit city, Missouri",3720,478,473,275,553,249,26692,,,,,,29,32770
"Eolia village, Missouri",489,31,72,41,49,36,21421,,,,,,29,22474
"Tarrants village, Missouri",0,0,0,0,0,0,-666666666,,,,,,29,72376
"Wyaconda city, Missouri",190,13,25,29,7,30,18651,,,,,,29,81142
"Sparta city, Missouri",1642,130,280,200,149,72,17452,,,,,,29,69302
"Stella town, Missouri",161,29,12,17,6,14,11315,,,,,,29,70648
"Winona city, Missouri",1395,151,181,126,145,83,12982,,,,,,29,80512
"Prairie Home city, Missouri",264,10,24,29,34,17,20716,,,,,,29,59726
"Penermon village, Missouri",87,24,0,0,4,15,8948,,,,,,29,56900
"Wellsville city, Missouri",1157,112,131,116,87,141,18073,,,,,,29,78406
"Noel city, Missouri",2424,259,426,319,99,65,13237,,,,,,29,52742
"Advance city, Missouri",1246,71,156,103,178,152,20295,,,,,,29,00262
"Everton city, Missouri",359,24,50,49,60,16,16844,,,,,,29,22996
"Delta city, Missouri",415,58,17,49,39,57,18616,,,,,,29,19072
"Arrow Point village, Missouri",111,0,12,5,25,9,34155,,,,,,29,02034
"Franklin city, Missouri",58,3,2,2,26,4,14436,,,,,,29,25624
"East Prairie city, Missouri",3096,358,400,198,270,220,14869,,,,,,29,21052
"Malden city, Missouri",4244,453,330,514,415,355,18509,,,,,,29,45614
"Junction City village, Missouri",309,54,36,27,19,19,19986,,,,,,29,37736
"Marquand city, Missouri",316,37,31,48,14,22,17407,,,,,,29,46244
"Gordonville village, Missouri",511,54,48,48,57,56,28395,,,,,,29,27928
"Oak Ridge town, Missouri",228,20,17,34,29,13,19162,,,,,,29,53786
"Indian Point village, Missouri",477,33,24,52,119,47,29384,,,,,,29,35186
"Annapolis city, Missouri",420,61,31,63,32,33,22058,,,,,,29,01270
"Blue Eye town, Missouri",280,42,32,22,50,30,29214,,,,,,29,06526
"Lamar city, Missouri",4329,357,427,427,440,374,22072,,,,,,29,40376
"Rives town, Missouri",53,0,4,12,1,3,18943,,,,,,29,62228
"Dutchtown village, Missouri",22,0,4,0,0,9,22559,,,,,,29,20566
"Altamont village, Missouri",173,20,31,13,14,8,20988,,,,,,29,00910
"Des Arc village, Missouri",211,32,28,12,15,6,13983,,,,,,29,19198
"Bunker city, Missouri",347,36,35,51,38,49,20484,,,,,,29,09694
"Barnard city, Missouri",234,29,38,26,15,12,22548,,,,,,29,03340
"Clearmont city, Missouri",169,3,10,16,16,27,22747,,,,,,29,14662
